mode_type,street,lat,long
mv,,42.2897498978002,-71.0525153263253
mv,RIVER ST,42.2570787516922,-71.1201053797274
ped,,42.3733372700896,-71.0390395875703
bike,,42.3054125461528,-71.0691630270576
ped,,42.3158085168013,-71.0982902915831
mv,,42.304234003329,-71.0824619813441
mv,CHELSEA ST,42.3771159070373,-71.0303839342412
mv,,42.3215995638235,-71.1121243561254
mv,AMERICAN LEGION HWY,42.2851384890712,-71.1110671599219
mv,LINDEN ST,42.3530487493393,-71.1301488268238
mv,CHARLESGATE EAST NULL,42.3497218810782,-71.0913633149351
mv,FANEUIL ST,42.3556810836555,-71.1555035563647
bike,KENSINGTON ST,42.3206226334778,-71.0910942761508
mv,,42.2962310903943,-71.1457693432432
mv,,42.3005010844742,-71.1031012803627
ped,SCHOOL ST,42.3576414140986,-71.0591954272696
mv,,42.3372831546173,-71.0653071783305
mv,,42.3019140964608,-71.1144602815921
mv,TERMINAL RD,42.3656490017861,-71.0181415412304
ped,,42.3508757487962,-71.0630054637919
mv,INTERVALE ST,42.3097059095071,-71.075311124679
mv,,42.3560851169495,-71.0698420692167
mv,HOLBORN ST,42.3141803607715,-71.0802968651335
mv,,42.3573564249695,-71.0549072698411
mv,,42.3017911759147,-71.0642997995842
ped,FRANKLIN ST,42.3598428062083,-71.1329820075096
bike,TERRACE ST,42.3287340904184,-71.0980520428192
mv,,42.3179318525289,-71.0821505172383
mv,CENTRE ST,42.322670537416,-71.1053984619122
mv,,42.3296812188032,-71.0794492752559
bike,DORCHESTER AVE,42.3018262737595,-71.0597159522468
ped,RIVER ST,42.2624689385452,-71.1085871102471
mv,SEAVER ST,42.3127175210763,-71.0938449471372
mv,,42.2893328375138,-71.051472118046
mv,GARFIELD AVE,42.2425293287532,-71.1207752921573
mv,,42.3719552335983,-71.1325173172036
mv,,42.2898721101492,-71.0837696654793
mv,,42.3114404658829,-71.1025991693072
mv,,42.3203766142874,-71.0528653750671
mv,NORFOLK AVE,42.3219146564695,-71.066325144542
mv,MASSPORT HAUL RD,42.3459447429852,-71.0398152754756
mv,,42.2900954177924,-71.0484214984998
mv,,42.3210271850092,-71.1165775830022
mv,SOLDIERS FIELD RD,42.3601036945007,-71.1175242131458
mv,,42.3505761939549,-71.0954442307727
mv,GEORGE ST,42.3262772606647,-71.0730256681819
mv,,42.2676618149555,-71.1059315144057
mv,,42.3467091767955,-71.1051172586018
mv,,42.3153929126476,-71.0832979755553
mv,LYON ST,42.3065147134447,-71.0596603669549
mv,WALNUT AVE,42.3164166198373,-71.0932384946301
mv,WESTERN AVE,42.3633024735752,-71.1344202084801
ped,CONGRESS ST,42.3514150336037,-71.0501009289128
mv,,42.3329501558606,-71.092399234367
mv,,42.2928450588169,-71.0963012549405
mv,,42.3524276205084,-71.1629043347469
ped,HARVARD AVE,42.3490315470793,-71.1298819081028
mv,,42.3570342071346,-71.126241306044
mv,,42.2928450588169,-71.0963012549405
ped,,42.3594304853027,-71.0635547910775
mv,,42.3186721156624,-71.05186712236
mv,PATTERSON WAY,42.3312127575665,-71.0514909511522
mv,,42.2876880686948,-71.093869231729
mv,SARATOGA ST,42.3807346561285,-71.0253087754117
mv,,42.2705578703995,-71.1055093283799
mv,COLUMBIA RD,42.3076060646728,-71.0760383443841
mv,,42.3467091767955,-71.1051172586018
mv,,42.2966420675368,-71.0464231258188
mv,SOLDIERS FIELD RD,42.3589514292631,-71.1573794102857
ped,MASSACHUSETTS AVE,42.3448652646347,-71.0865503245463
mv,,42.3046580060763,-71.106883773235
mv,,42.3321181496861,-71.0792771952443
mv,,42.2790787900519,-71.1167940038063
mv,RIVER ST,42.2713335959976,-71.0815217812367
mv,,42.2827740829945,-71.1320849392464
mv,,42.3609645221658,-71.1176500302794
mv,,42.3609645221658,-71.1176500302794
mv,RIVER ST,42.2636172774218,-71.1025627067862
mv,,42.357238198225,-71.07278318662
mv,,42.2799830547326,-71.118969288207
mv,,42.3445781279039,-71.0978136390818
mv,,42.347558263185,-71.1055518392798
mv,SOUTH ST,42.3050857964789,-71.1146200466626
mv,COLUMBIA RD,42.3214274912553,-71.0523811650364
mv,SEAVER ST,42.3075161919137,-71.0888771624109
mv,CENTRE ST,42.2709385039486,-71.1618869878508
mv,ADAMS ST,42.2722336135523,-71.0678140479694
mv,,42.3127339287658,-71.0683052062051
mv,,42.3246101250228,-71.0560231639192
mv,,42.3281599638715,-71.0969898111653
mv,NORTHAMPTON ST,42.3336004834616,-71.0751238603192
mv,COMMONWEALTH AVE,42.3487922099458,-71.0951016634477
mv,,42.2789526285743,-71.0541660134097
ped,BLUE HILL AVE,42.300876663826,-71.085879959613
mv,,42.3163721221149,-71.0828442123077
mv,,42.2676790126307,-71.0938782413273
mv,ADAMS ST,42.3019571871877,-71.0600466401321
mv,,42.3052126481695,-71.0683617009031
mv,,42.3053945646767,-71.0615077163655
mv,JULIAN ST,42.3186867092614,-71.0740929286409
mv,,42.3353701670616,-71.0648381737997
ped,,42.28515102369,-71.0667289203525
mv,,42.3153244102599,-71.0833256762273
mv,,42.2808544957036,-71.0845827811619
bike,,42.3505557346561,-71.1310615454063
mv,,42.3555390131485,-71.1327575936923
ped,HEATH ST,42.3265074965635,-71.1065482824054
mv,,42.3336261401818,-71.0733641704655
ped,,42.3528745586293,-71.0738297059
bike,,42.3513565529965,-71.1185672636892
ped,,42.3049199868413,-71.0741346337275
ped,,42.3252756217294,-71.059144505247
ped,,42.3339622702465,-71.035324849318
mv,,42.2609740303247,-71.1209238754576
ped,,42.2996895027989,-71.065110187013
mv,,42.2797739860347,-71.081564293031
ped,,42.2853563837668,-71.0711796184307
ped,,42.3532434535306,-71.1344378081085
mv,PARKLAWN RD,42.2923594912315,-71.1476041659526
mv,QUINCY ST,42.3121502317609,-71.0727966140004
mv,WALNUT AVE,42.3144219803206,-71.0938625349194
mv,RIVER ST,42.2692955098695,-71.0912285181822
mv,DORCHESTER AVE,42.2862937092124,-71.0641526383575
ped,,42.3364661653426,-71.077022197067
ped,CONGRESS ST,42.3627221398175,-71.0590486279919
mv,CAMBRIDGE ST,42.3838863102436,-71.0745626822914
mv,,42.2558365128312,-71.1241135678666
mv,,42.2547150810683,-71.1435473531888
mv,,42.2877421853353,-71.1067813297886
mv,BLUE HILL AVE,42.308336296721,-71.0833059356105
ped,WASHINGTON ST,42.309616076552,-71.1043940855022
mv,,42.2515508335422,-71.1197416876085
mv,ENNEKING PKWY,42.2582837696812,-71.1287491473201
ped,DORCHESTER AVE,42.2842732809231,-71.064720205838
ped,,42.3481914185547,-71.0624929303095
mv,CHESTNUT AVE,42.3219933711421,-71.1021393071267
mv,AMERICAN LEGION HWY,42.283819575513,-71.1127709673642
mv,,42.2901372780195,-71.0707942854371
mv,,42.2907038991236,-71.0757698180437
bike,,42.3428491836885,-71.0850258466602
mv,,42.3716821990408,-71.0619378657369
ped,HARVARD AVE,42.3528152573403,-71.1320396094994
mv,,42.3695156825774,-71.1262611363046
mv,,42.36794658999,-71.121852359132
mv,,42.2969630574118,-71.0777583091517
mv,,42.3641916009571,-71.1180340717805
mv,,42.3114914654031,-71.0528940416814
mv,,42.3381869616692,-71.1533753107111
mv,,42.3492990675246,-71.0768932335
mv,,42.3070092843178,-71.0541188718536
ped,ELM HILL AVE,42.3082054021245,-71.0885515929554
ped,,42.3010159120639,-71.0673733132153
mv,,42.2968150724953,-71.1327923341411
mv,BENNINGTON ST,42.388919079606,-70.9985168344066
mv,,42.292990343285,-71.0945509732253
mv,,42.3220051056912,-71.075858850099
mv,BOYLSTON ST,42.3506062992335,-71.0754215804647
mv,CHESTNUT HILL AVE,42.342807109694,-71.1537224830044
ped,,42.2919876048567,-71.0717397184134
mv,,42.3477051796504,-71.0869132214062
mv,,42.278159981992,-71.0747166265769
mv,,42.325048760686,-71.0691516203568
mv,,42.2981232314924,-71.0870484576717
mv,,42.3053945646767,-71.0615077163655
mv,,42.288941261597,-71.0921898227463
mv,,42.2998535274114,-71.0681900097914
mv,,42.2790787900519,-71.1167940038063
mv,,42.3156940755137,-71.0944194256871
mv,,42.3599978138824,-71.0719922112644
ped,,42.3553617671426,-71.072806772311
mv,PLEASANT ST,42.3154503820029,-71.0597967919399
mv,JEWISH WAR VETERANS DR,42.301138702185,-71.0883464770464
mv,WREN ST,42.2801761990159,-71.1500617111049
ped,LAMARTINE ST,42.3221180215041,-71.10093641901
mv,HARVARD ST,42.2758250822841,-71.1084382917157
mv,,42.2968150724953,-71.1327923341411
mv,MERIDIAN ST,42.3727269957212,-71.0390320081904
mv,HARVARD AVE,42.351002106328,-71.1313473417974
mv,DORCHESTER AVE,42.3301664139235,-71.0569577865015
bike,,42.2816570525055,-71.0869362317209
ped,,42.3191731363828,-71.0860137242724
